rank,Name
1,Germany
2,Argentina
3,Colombia
4,Belgium
5,Netherlands
6,Brazil
7,Portugal
8,France
9,Spain
10,Uruguay
11,Italy
12,Switzerland
13,England
14,Chile
15,Romania
16,Costa Rica
17,Czech Republic
18,Algeria
19,Croatia
20,Mexico
21,Slovakia
22,Tunisia
23,Austria
24,Greece
25,Ukraine
26,Ecuador
27,USA
28,Cote d'Ivoire
29,Bosnia and Herzegovina
30,Denmark
31,Russia
32,Israel
33,Iceland
34,Wales
35,Senegal
36,Scotland
37,Ghana
38,Serbia
39,Guinea
40,Cape Verde Islands
41,Poland
42,Cameroon
43,Nigeria
44,Sweden
45,Hungary
46,Zambia
47,Slovenia
48,Northern Ireland
49,Turkey
50,Mali
51,Iran
52,South Africa
53,Peru
54,Japan
55,Trinidad and Tobago
56,Congo DR
57,Panama
58,Albania
59,Montegenero
60,Egypt
61,Congo  
62,Togo
63,Burkina Faso
64,Republic of Ireland
65,Gabon
66,Bulgaria
67,Norway
68,Rwanda
69,Korea Republic
70,Finland
71,Honduras
72,Guatemala
73,Haiti
74,Uzbekistan
75,Jamaica
76,Uganda
77,Paraguay
78,Libya
79,Armenia
80,Angola
81,Morocco
82,United Arab Emirates
83,Jordan
84,Estonia
85,Bolivia
86,Sierra Leone
87,Cyprus
88,Venezuela
89,Benin
90,Malawi
91,El Salvador
92,Lithuania
93,Oman
94,Antigua and Barbuda
95,Qatar
96,Latvia
97,China PR
98,Mozambique
99,Belarus
100,FYR Macedonia
100,Australia
